 +++ us,t =   0.99950627456531993        1.0000000000000000E-002
 +++ us,t =   0.99949208567250603       0.10004445723879077     
 +++ us,t =   0.99936169481067882       0.19009019275799072     
 +++ us,t =   0.99920742443901434       0.28014767691746689     
 +++ us,t =   0.99902732944482597       0.37021906529864190     
 +++ us,t =   0.99881993428656901       0.46030669087942988     
 +++ us,t =   0.99858437449528614       0.55041302227166888     
 +++ us,t =   0.99832053486623229       0.64054060918237798     
 +++ us,t =   0.99802915942475501       0.73069201532575589     
 +++ us,t =   0.99771191891322752       0.82086974124698475     
 +++ us,t =   0.99737142397616430       0.91107614080371635     
 +++ us,t =   0.99701117671602379        1.0000000000000000     
 +++ us,t =   0.99664092771325086        1.0902698004815190     
 +++ us,t =   0.99625478637704123        1.1805731359129679     
 +++ us,t =   0.99586328701445315        1.2709114722810089     
 +++ us,t =   0.99547187691413930        1.3612853229626776     
 +++ us,t =   0.99508592098682980        1.4516947077852713     
 +++ us,t =   0.99471046731324353        1.5421391589646698     
 +++ us,t =   0.99435004712093122        1.6326177484210509     
 +++ us,t =   0.99400852111871529        1.7231291334816625     
 +++ us,t =   0.99368898031165964        1.8136716168586751     
 +++ us,t =   0.99339370330809684        1.9042432160040863     
 +++ us,t =   0.99312416655826885        1.9948417367117286     
 +++ us,t =   0.99288109957219794        2.0000000000000000     
 +++ us,t =   0.99286877496398362        2.0906452948281302     
 +++ us,t =   0.99265368370179574        2.1812917148480011     
 +++ us,t =   0.99246466454281168        2.2719577764137759     
 +++ us,t =   0.99230074602853435        2.3626411057204768     
 +++ us,t =   0.99216071622912594        2.4533394150387005     
 +++ us,t =   0.99204317898527827        2.5440505251722079     
 +++ us,t =   0.99194665117650105        2.6347723827551182     
 +++ us,t =   0.99186964180609094        2.7255030686173622     
 +++ us,t =   0.99181071173892565        2.8162407988659859     
 +++ us,t =   0.99176851469309135        2.9069839204463168     
 +++ us,t =   0.99174182137582967        2.9977309028990224     
 +++ us,t =   0.99172952945812776        3.0000000000000000     
 +++ us,t =   0.99172955778754013        3.0907505497483525     
 +++ us,t =   0.99173100497119282        3.1815010969043556     
 +++ us,t =   0.99174499849186681        3.2722515116326059     
 +++ us,t =   0.99177078301976929        3.3630006458726189     
 +++ us,t =   0.99180768841643696        3.4537474207735346     
 +++ us,t =   0.99185511196424081        3.5444908189656759     
 +++ us,t =   0.99191250156793087        3.6352298784456099     
 +++ us,t =   0.99197934079647287        3.7259636879880196     
 +++ us,t =   0.99205513636417353        3.8166913839173904     
 +++ us,t =   0.99213940830750547        3.9074121480171007     
 +++ us,t =   0.99223168284786900        3.9981252063296733     
 +++ us,t =   0.99233148773867075        4.0000000000000000     
 +++ us,t =   0.99233369649337166        4.0906954995503488     
 +++ us,t =   0.99244068403084162        4.1813907972289774     
 +++ us,t =   0.99255425385820750        4.2720763177322896     
 +++ us,t =   0.99267392016842204        4.3627514618366616     
 +++ us,t =   0.99279920753720508        4.4534156751009029     
 +++ us,t =   0.99292964324608857        4.5440684468967820     
 +++ us,t =   0.99306475971995856        4.6347093101363681     
 +++ us,t =   0.99320409699511170        4.7253378407725570     
 +++ us,t =   0.99334720503341800        4.8159536570708292     
 +++ us,t =   0.99349364575783561        4.9065564186671358     
 +++ us,t =   0.99364299473636497        4.9971458254381753     
 +++ us,t =   0.99379484248474748        5.0000000000000000     
 +++ us,t =   0.99379969376418931        5.0905619511719102     
 +++ us,t =   0.99395367832264458        5.1811234602614427     
 +++ us,t =   0.99410940205424669        5.2716709394476764     
 +++ us,t =   0.99426648257482975        5.3622042346906573     
 +++ us,t =   0.99442457671118867        5.4527232269098551     
 +++ us,t =   0.99458335785794016        5.5432278283725953     
 +++ us,t =   0.99474251565720972        5.6337179811475577     
 +++ us,t =   0.99490175558956617        5.7241936555893389     
 +++ us,t =   0.99506079851316631        5.8146548488623040     
 +++ us,t =   0.99521938018327072        5.9051015835085483     
 +++ us,t =   0.99537725077597627        5.9955339060618194     
 +++ us,t =   0.99553417443226411        6.0000000000000000     
 +++ us,t =   0.99554186774483155        6.0904037272766907     
 +++ us,t =   0.99569753071353018        6.1808067559347162     
 +++ us,t =   0.99585182908252745        6.2711956513812126     
 +++ us,t =   0.99600454357902535        6.3615705418736228     
 +++ us,t =   0.99615549086464328        6.4519315754454132     
 +++ us,t =   0.99630449973964430        6.5422789166239292     
 +++ us,t =   0.99645141085136502        6.6326127453113628     
 +++ us,t =   0.99659607641749437        6.7229332556944073     
 +++ us,t =   0.99673835995460336        6.8132406551811950     
 +++ us,t =   0.99687813600684338        6.9035351633649666     
 +++ us,t =   0.99701528987075549        6.9938170110143787     
 +++ us,t =   0.99714971731326218        7.0000000000000000     
 +++ us,t =   0.99715873170993297        7.0902572587018300     
 +++ us,t =   0.99729012320551824        7.1805137014706437     
 +++ us,t =   0.99741862180637531        7.2707582530868970     
 +++ us,t =   0.99754413668893416        7.3609911783926281     
 +++ us,t =   0.99766660310875732        7.4512127502407965     
 +++ us,t =   0.99778596522568552        7.5414232471338041     
 +++ us,t =   0.99790217576849860        7.6316229524179358     
 +++ us,t =   0.99801519569720065        7.7218121535094051     
 +++ us,t =   0.99812499386237996        7.8119911411521006     
 +++ us,t =   0.99823154666329106        7.9021602087071896     
 +++ us,t =   0.99833483770618348        7.9923196514745873     
 +++ us,t =   0.99843485746425653        8.0000000000000000     
 +++ us,t =   0.99844309970531109        8.0901410836442302     
 +++ us,t =   0.99853955764873714        8.1802814231653933     
 +++ us,t =   0.99863275441963961        8.2704130552180306     
 +++ us,t =   0.99872269041860706        8.3605362757930504     
 +++ us,t =   0.99880938070161462        8.4506513806799504     
 +++ us,t =   0.99889284552631141        8.5407586641505748     
 +++ us,t =   0.99897311004075340        8.6308584184966772     
 +++ us,t =   0.99905020397973798        8.7209509335958355     
 +++ us,t =   0.99912416136811721        8.8110364965049701     
 +++ us,t =   0.99919502023129114        8.9011153910807561     
 +++ us,t =   0.99926282231304342        8.9911878976262418     
 +++ us,t =   0.99932761280086080        9.0000000000000000     
 +++ us,t =   0.99933366198410289        9.0900605555647083     
 +++ us,t =   0.99939520073077970        9.1801205659733558     
 +++ us,t =   0.99945383657524822        9.2701750308479021     
 +++ us,t =   0.99950961992947263        9.3602242124173038     
 +++ us,t =   0.99956260737644631        9.4502683682768041     
 +++ us,t =   0.99961285766352770        9.5403077508385667     
 +++ us,t =   0.99966043147534156        9.6303426071432003     
 +++ us,t =   0.99970539121500923        9.7203731786915544     
 +++ us,t =   0.99974780079350090        9.8103997012959958     
 +++ us,t =   0.99978772542713790        9.9004224049504241     
 +++ us,t =   0.99982523144324420        9.9904415137182880     
 +++ us,t =   0.99986038609393446        10.000000000000000     
 +++ us,t =   0.99986387659177511        10.090012567006074     
 +++ us,t =   0.99989651166605475        10.180024819780703     
 +++ us,t =   0.99992694036915286        10.270034134694743     
 +++ us,t =   0.99995523062184166        10.360040710541949     
 +++ us,t =   0.99998145168686325        10.450044739966378     
 +++ us,t =    1.0000056729264091        10.540046409345525     
 +++ us,t =    1.0000279636642631        10.630045898785044     
 +++ us,t =    1.0000483930555399        10.720043382125635     
 +++ us,t =    1.0000670299638386        10.810039026961396     
 +++ us,t =    1.0000839428456614        10.900032994668996     
 +++ us,t =    1.0000991996419388        10.990025440447010     
 +++ us,t =    1.0001128676764870        11.000000000000000     
 +++ us,t =    1.0001142139194725        11.089989843055507     
 +++ us,t =    1.0001261982382288        11.179979564976655     
 +++ us,t =    1.0001367335787059        11.269968208568374     
 +++ us,t =    1.0001458846007623        11.359955904228707     
 +++ us,t =    1.0001537151630711        11.449942776529769     
 +++ us,t =    1.0001602880901457        11.539928944291317     
 +++ us,t =    1.0001656651091990        11.629914520675138     
 +++ us,t =    1.0001699067926049        11.719899613284944     
 +++ us,t =    1.0001730725057674        11.809884324271318     
 +++ us,t =    1.0001752203601972        11.899868750441200     
 +++ us,t =    1.0001764071716042        11.989852983371494     
 +++ us,t =    1.0001766884228003        12.000000000000000     
 +++ us,t =    1.0001766241254222        12.089984100851144     
 +++ us,t =    1.0001759638667411        12.179968207487008     
 +++ us,t =    1.0001745106748487        12.269952373525205     
 +++ us,t =    1.0001723156944899        12.359936670304849     
 +++ us,t =    1.0001694286316627        12.449921164564227     
 +++ us,t =    1.0001658977380801        12.539905918570485     
 +++ us,t =    1.0001617697993299        12.629890990250631     
 +++ us,t =    1.0001570901265096        12.719876433323563     
 +++ us,t =    1.0001519025511545        12.809862297432787     
 +++ us,t =    1.0001462494232860        12.899848628279562     
 +++ us,t =    1.0001401716124094        12.989835467756185     
 +++ us,t =    1.0001337085112945        13.000000000000000     
 +++ us,t =    1.0001329392342460        13.089987967842786     
 +++ us,t =    1.0001260936074940        13.179976004902048     
 +++ us,t =    1.0001189410659914        13.269964657908158     
 +++ us,t =    1.0001115164207888        13.359953954485295     
 +++ us,t =    1.0001038530849440        13.449943919126531     
 +++ us,t =    1.0000959830517848        13.539934573319476     
 +++ us,t =    1.0000879369122972        13.629925935673883     
 +++ us,t =    1.0000797438742268        13.719918022047677     
 +++ us,t =    1.0000714317827633        13.809910845671268     
 +++ us,t =    1.0000630271426760        13.899904417270012     
 +++ us,t =    1.0000545551417825        13.989898745184666     
 +++ us,t =    1.0000460396756234        14.000000000000000     
 +++ us,t =    1.0000450815415156        14.089995856619954     
 +++ us,t =    1.0000365452365834        14.179991799464121     
 +++ us,t =    1.0000280118140095        14.269988510513024     
 +++ us,t =    1.0000195012537356        14.359985989520380     
 +++ us,t =    1.0000110324196776        14.449984234441770     
 +++ us,t =    1.0000026230245012        14.539983241534953     
 +++ us,t =   0.99999428965936665        14.629983005463368     
 +++ us,t =   0.99998604782416334        14.719983519396960     
 +++ us,t =   0.99997791195814800        14.809984775110305     
 +++ us,t =   0.99996989547090998        14.899986763077981     
 +++ us,t =   0.99996201077358293        14.989989472567167     
 +++ us,t =   0.99995426931023434        15.000000000000000     
 +++ us,t =   0.99995342537465193        15.090004115950304     
 +++ us,t =   0.99994585576968498        15.180008307861822     
 +++ us,t =   0.99993845053605990        15.270013181106409     
 +++ us,t =   0.99993121825901432        15.360018720899134     
 +++ us,t =   0.99992416673933826        15.450024911681636     
 +++ us,t =   0.99991730297150716        15.540031737192697     
 +++ us,t =   0.99991063317477547        15.630039180540804     
 +++ us,t =   0.99990416282403460        15.720047224273916     
 +++ us,t =   0.99989789668038409        15.810055850446460     
 +++ us,t =   0.99989183882138000        15.900065040683579     
 +++ us,t =   0.99988599267091960        15.990074776242665     
 +++ us,t =   0.99988036102872491        16.000000000000000     
 +++ us,t =   0.99987976393696953        16.090010768795782     
 +++ us,t =   0.99987437305762639        16.180021591342715     
 +++ us,t =   0.99986920067856289        16.270032899188099     
 +++ us,t =   0.99986424781496419        16.360044672666991     
 +++ us,t =   0.99985951500223613        16.450056892022449     
 +++ us,t =   0.99985500229487589        16.540069537448741     
 +++ us,t =   0.99985070929288411        16.630082589134666     
 +++ us,t =   0.99984663516758998        16.720096027304500     
 +++ us,t =   0.99984277868688010        16.810109832256611     
 +++ us,t =   0.99983913823981241        16.900123984399809     
 +++ us,t =   0.99983571186060294        16.990138464287487     
 +++ us,t =   0.99983249725197487        17.000000000000000     
 +++ us,t =   0.99983216799169472        17.090015077772890     
 +++ us,t =   0.99982918513704155        17.180030185189146     
 +++ us,t =   0.99982640821723334        17.270045561153257     
 +++ us,t =   0.99982383403818287        17.360061187126245     
 +++ us,t =   0.99982145917251619        17.450077044856400     
 +++ us,t =   0.99981927997042397        17.540093116400300     
 +++ us,t =   0.99981729257898144        17.630109384142870     
 +++ us,t =   0.99981549296080052        17.720125830815689     
 +++ us,t =   0.99981387691201484        17.810142439513641     
 +++ us,t =   0.99981244007960390        17.900159193709904     
 +++ us,t =   0.99981117797805319        17.990176077269417     
 +++ us,t =   0.99981008600536136        18.000000000000000     
 +++ us,t =   0.99980998488750505        18.090017095506195     
 +++ us,t =   0.99980907587053014        18.180034200116452     
 +++ us,t =   0.99980832696016753        18.270051386569413     
 +++ us,t =   0.99980773328705053        18.360068640450102     
 +++ us,t =   0.99980728992536105        18.450085947781890     
 +++ us,t =   0.99980699190454692        18.540103295031596     
 +++ us,t =   0.99980683422147287        18.630120669113523     
 +++ us,t =   0.99980681185197429        18.720138057392411     
 +++ us,t =   0.99980691976182079        18.810155447685332     
 +++ us,t =   0.99980715291710631        18.900172828262615     
 +++ us,t =   0.99980750629406911        18.990190187847823     
 +++ us,t =   0.99980797488836270        19.000000000000000     
 +++ us,t =   0.99980803796807072        19.090017285579311     
 +++ us,t =   0.99980862827865202        19.180034565479268     
 +++ us,t =   0.99980932335717043        19.270051792230902     
 +++ us,t =   0.99981011831317668        19.360068956401562     
 +++ us,t =   0.99981100830836533        19.450086048998948     
 +++ us,t =   0.99981198856301901        19.540103061466411     
 +++ us,t =   0.99981305436217904        19.630119985677684     
 +++ us,t =   0.99981420106135899        19.720136813931056     
 +++ us,t =   0.99981542409181323        19.810153538943023     
 +++ us,t =   0.99981671896537383        19.900170153841469     
 +++ us,t =   0.99981808127887040        19.990186652158414     
 +++ us,t =   0.99981950671815067        20.000000000000000     
 +++ us,t =   0.99981966853737014        20.090016247327899     
 +++ us,t =   0.99982115885085832        20.180032480086812     
 +++ us,t =   0.99982270350585356        20.270048578669325     
 +++ us,t =   0.99982429848478127        20.360064538183366     
 +++ us,t =   0.99982593987347579        20.450080354098617     
 +++ us,t =   0.99982762386154411        20.540096022237201     
 +++ us,t =   0.99982934674423019        20.630111538764339     
 +++ us,t =   0.99983110492397853        20.720126900178833     
 +++ us,t =   0.99983289491170457        20.810142103303409     
 +++ us,t =   0.99983471332779028        20.900157145274946     
 +++ us,t =   0.99983655690281614        20.990172023534623     
 +++ us,t =   0.99983842247803978        21.000000000000000     
 +++ us,t =   0.99983862823432601        21.090014544327012     
 +++ us,t =   0.99984051450738765        21.180029070129976     
 +++ us,t =   0.99984241649048522        21.270043426113883     
 +++ us,t =   0.99984433136641526        21.360057610865024     
 +++ us,t =   0.99984625643135350        21.450071623223330     
 +++ us,t =   0.99984818909114193        21.540085462272174     
 +++ us,t =   0.99985012686050179        21.630099127328474     
 +++ us,t =   0.99985206736208021        21.720112617932909     
 +++ us,t =   0.99985400832534277        21.810125933840180     
 +++ us,t =   0.99985594758531782        21.900139075009399     
 +++ us,t =   0.99985788308120849        21.990152041594587     
 +++ us,t =   0.99985981285487868        22.000000000000000     
 +++ us,t =   0.99986002315487554        22.090012618612029     
 +++ us,t =   0.99986194432437203        22.180025218291753     
 +++ us,t =   0.99986385597839944        22.270037645018139     
 +++ us,t =   0.99986575646374798        22.360049899648477     
 +++ us,t =   0.99986764422584706        22.450061983188878     
 +++ us,t =   0.99986951780344013        22.540073896785383     
 +++ us,t =   0.99987137582650554        22.630085641715578     
 +++ us,t =   0.99987321701411314        22.720097219380360     
 +++ us,t =   0.99987504017222661        22.810108631295925     
 +++ us,t =   0.99987684419145595        22.900119879085945     
 +++ us,t =   0.99987862804476846        22.990130964473945     
 +++ us,t =   0.99988039078516588        23.000000000000000     
 +++ us,t =   0.99988058164648874        23.090010766117061     
 +++ us,t =   0.99988231990467513        23.180021515052498     
 +++ us,t =   0.99988403531032244        23.270032107507600     
 +++ us,t =   0.99988572714730439        23.360042545540114     
 +++ us,t =   0.99988739477250588        23.450052831272238     
 +++ us,t =   0.99988903761064973        23.540062966884037     
 +++ us,t =   0.99989065515188713        23.630072954607339     
 +++ us,t =   0.99989224694938916        23.720082796719854     
 +++ us,t =   0.99989381261695076        23.810092495539486     
 +++ us,t =   0.99989535182660327        23.900102053418887     
